,a_1,oa_2,ow_0,ow_1,ow_2,diff,ror_ow0,ror_ow1,ror_ow2
224,1,0,4.42857142857143,4,5.71428571428571,1,2.28571428571429,2.28571428571429,2.28571428571429
225,0,0,5,4.71428571428571,5.85714285714286,0,5,4.71428571428571,5.85714285714286
226,0,0,4.28571428571429,3.28571428571429,4.42857142857143,0,4.28571428571429,3.28571428571429,4.42857142857143
227,1,0,5.28571428571429,4.42857142857143,5.28571428571429,1,6.57142857142857,6.42857142857143,6.57142857142857
228,1,0,6.42857142857143,5.14285714285714,6.14285714285714,1,3.85714285714286,4.14285714285714,4.14285714285714
229,0,0,4.42857142857143,3.57142857142857,5.14285714285714,0,4.42857142857143,3.57142857142857,5.14285714285714
230,1,1,4.71428571428571,5.42857142857143,5.14285714285714,0,4.71428571428571,5.42857142857143,5.14285714285714
231,0,1,6,6,6,-1,6.85714285714286,5.85714285714286,5
232,0,0,5.28571428571429,4,6.42857142857143,0,5.28571428571429,4,6.42857142857143
233,0,0,4.85714285714286,2.85714285714286,4.14285714285714,0,4.85714285714286,2.85714285714286,4.14285714285714
234,1,1,5.71428571428571,5.85714285714286,4.57142857142857,0,5.71428571428571,5.85714285714286,4.57142857142857
235,1,0,5.85714285714286,5.85714285714286,5.28571428571429,1,4.42857142857143,4.85714285714286,3
236,1,1,4.42857142857143,5.42857142857143,5.71428571428571,0,4.42857142857143,5.42857142857143,5.71428571428571
237,0,0,6.57142857142857,5.42857142857143,6.57142857142857,0,6.57142857142857,5.42857142857143,6.57142857142857
238,0,1,2.28571428571429,2.28571428571429,2.28571428571429,-1,4.42857142857143,4,5.71428571428571
239,0,0,5.42857142857143,5.71428571428571,6.85714285714286,0,5.42857142857143,5.71428571428571,6.85714285714286
240,1,1,6.85714285714286,7,7,0,6.85714285714286,7,7
241,0,0,5.42857142857143,4.14285714285714,5.14285714285714,0,5.42857142857143,4.14285714285714,5.14285714285714
242,0,1,6.57142857142857,6.42857142857143,6.57142857142857,-1,5.28571428571429,4.42857142857143,5.28571428571429
243,0,1,3.85714285714286,4.14285714285714,4.14285714285714,-1,6.42857142857143,5.14285714285714,6.14285714285714
244,0,1,4.42857142857143,4.85714285714286,3,-1,5.85714285714286,5.85714285714286,5.28571428571429
